replicate	ancient_sample	true_T	map_T	mean_T	ci95_lower_T	ci95_upper_T	contains_true_95	error	abs_error	min_ne_to_T	geomean_ne_to_T	sd_log_ne_to_T	global_min_ne	global_log_ne_range	realised_epsilon
6	ancient_10	8524.83749909031	9640.0	9602.044567906085	9305.638455368231	9883.787082397146	0	1115.1625009096897	1115.1625009096897	6193.339194334913	31784.79703770509	0.5274155985883813	6193.339194334913	2.777298218961006	0.010274873894290519
7	ancient_01	416.30363665988267	520.0	570.2779915866201	444.07259800511093	790.9702446958079	0	103.69636334011733	103.69636334011733	9481.501521959095	30879.370787967186	1.0799700363149538	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_02	666.0125087501556	1240.0	1101.5635143615068	679.3647151424445	1412.4136578102796	0	573.9874912498444	573.9874912498444	9481.501521959095	25344.602791629648	1.0099154584928265	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_03	2601.415913735907	2800.0	2800.2949252859635	2631.061186179864	2959.29842905472	0	198.584086264093	198.584086264093	9481.501521959095	23068.798565431927	0.68283808760153	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_04	3507.5629476405447	3080.0	3193.5281161124526	2983.6100815281548	3596.344503377124	1	-427.56294764054473	427.56294764054473	9481.501521959095	24495.343451267057	0.7276958417535696	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_05	4902.127894892971	5580.0	5425.3082556788395	4629.288648106147	6207.862472750054	1	677.8721051070288	677.8721051070288	9481.501521959095	34623.25905616339	0.8246674613462013	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_06	5017.810065285056	5060.0	4944.582846972413	4208.918628348108	5691.068213415703	1	42.189934714943774	42.189934714943774	9481.501521959095	35325.00667654769	0.825505392257013	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_07	5135.039162518964	5980.0	6008.664756967265	5261.624427443678	6775.067971014387	0	844.9608374810359	844.9608374810359	9481.501521959095	36017.41559387425	0.825851386969309	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_08	6103.429857535369	6200.0	6234.426892033291	5518.3316692529925	6983.20336152175	1	96.57014246463132	96.57014246463132	9481.501521959095	41092.78158529697	0.8160714961203303	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_09	6508.226950181011	6240.0	6210.163112418252	5449.310190451939	6970.590040426902	1	-268.2269501810106	268.2269501810106	9481.501521959095	42918.87449427524	0.8081177531371738	5764.647708375179	3.0920109195645917	0.009885840858749361
7	ancient_10	8428.92912732173	7720.0	7821.625461591172	7105.56675160935	8543.41684552421	1	-708.9291273217295	708.9291273217295	9481.501521959095	49063.65239929162	0.7523596494813407	5764.647708375179	3.0920109195645917	0.009885840858749361
8	ancient_01	421.4481362603406	60.0	262.7498440328794	13.751103542990244	582.1509359784229	1	-361.4481362603406	361.4481362603406	19070.6563365224	34564.78072376684	0.7395431246692601	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_02	2040.085393822123	2240.0	2207.805619959525	2102.8121424941196	2313.42030145839	0	199.91460617787698	199.91460617787698	8847.010338983746	16099.04854521143	0.6028998060708738	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_03	2532.3296942236216	2580.0	2562.7450010162497	2422.1023185929844	2729.3206606458402	1	47.67030577637843	47.67030577637843	8847.010338983746	14330.444557947329	0.590728207242416	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_04	3100.2807834639266	2980.0	2969.655802587923	2866.4545496382007	3074.6167599302157	0	-120.28078346392658	120.28078346392658	8847.010338983746	13118.597066189697	0.5655443354071538	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_05	4513.150500600872	4980.0	4969.226804891464	4874.60917189683	5079.81895056527	0	466.84949939912804	466.84949939912804	5728.051402148359	10181.645444660975	0.6026141837269106	5728.051402148359	2.8534448584956973	0.010111841346708174
