T	log_posterior	density
5500	-45234.1	1.98274e-13
5520	-45234.4	1.43763e-13
5540	-45234.9	8.86319e-14
5560	-45235.4	5.3875e-14
5580	-45235.7	3.91774e-14
5600	-45236.3	2.07505e-14
5620	-45236.6	1.56894e-14
5640	-45237	1.0185e-14
5660	-45237.6	6.07888e-15
5680	-45238	3.94632e-15
5700	-45238.2	3.11269e-15
5720	-45239.2	1.20551e-15
5740	-45239.6	8.0478e-16
5760	-45240.1	4.99814e-16
5780	-45240.3	3.79025e-16
5800	-45241.3	1.46335e-16
5820	-45241.4	1.30005e-16
5840	-45241.8	9.07237e-17
5860	-45242.4	4.80262e-17
5880	-45242.8	3.13479e-17
5900	-45243.6	1.46155e-17
5920	-45244	9.58639e-18
5940	-45244.5	5.65076e-18
5960	-45245	3.61766e-18
5980	-45245.6	1.89645e-18
6000	-45246.1	1.15794e-18
6020	-45246.9	5.61257e-19
6040	-45247	4.74665e-19
6060	-45247.7	2.47516e-19
6080	-45248.1	1.62339e-19
6100	-45248.9	6.89835e-20
6120	-45249.3	4.71238e-20
6140	-45249.8	3.03794e-20
6160	-45250.4	1.56049e-20
6180	-45251	9.0866e-21
6200	-45251.7	4.5934e-21
6220	-45252.2	2.62699e-21
6240	-45252.5	1.90874e-21
6260	-45253.4	8.26959e-22
6280	-45253.9	5.10641e-22
6300	-45254.2	3.71154e-22
6320	-45254.8	2.04035e-22
6340	-45255.5	9.96425e-23
6360	-45256.1	5.45215e-23
6380	-45256.8	2.5699e-23
6400	-45257.3	1.60215e-23
6420	-45258.2	6.94185e-24
6440	-45258.6	4.52885e-24
6460	-45259.4	1.99521e-24
6480	-45259.7	1.50014e-24
6500	-45260.4	7.32288e-25
6520	-45261.2	3.34982e-25
6540	-45262	1.44374e-25
6560	-45262.4	9.69149e-26
6580	-45263.1	4.78112e-26
6600	-45263.7	2.639e-26
6620	-45264.3	1.5251e-26
6640	-45264.8	9.01967e-27
6660	-45265.5	4.38084e-27
6680	-45266.2	2.24996e-27
6700	-45266.5	1.57127e-27
