replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
185	6354.082856245833	6100.0	6117.535497130363	6126.378616728884	5725.93001399894	6432.950402912894	1	direct ancient-lineage insertion conditional on modern tree	35724.0	0.0
186	7670.310929898605	8000.0	7993.292996452665	7993.3570892333955	7641.977381995327	8343.996433014048	1	direct ancient-lineage insertion conditional on modern tree	17385.0	0.0
187	3056.059005158272	2850.0	2905.3265960894105	2881.3019066786246	2439.001220652021	3472.572933376387	1	direct ancient-lineage insertion conditional on modern tree	95854.0	0.0
188	307.70403454525325	0.0	255.47282459408666	184.2469272144478	6.688406304676062	867.3609687259878	1	direct ancient-lineage insertion conditional on modern tree	55745.0	0.0
189	8116.481888846948	4950.0	5141.755854801909	5058.565836471629	4430.255313542452	6476.147548992121	0	direct ancient-lineage insertion conditional on modern tree	49643.0	0.0
190	9533.861404932652	7050.0	6928.317662908742	6939.101340316129	6226.117734426115	7639.174536192263	0	direct ancient-lineage insertion conditional on modern tree	91702.0	0.0
191	243.7940355080095	0.0	0.5195864981910681	25.13057334628726	1.2565286673143632	49.00461802526016	0	direct ancient-lineage insertion conditional on modern tree	18305.0	0.0
192	8232.742400728835	7900.0	7967.253993867647	7953.200365121769	7377.040484922311	8592.42525461109	1	direct ancient-lineage insertion conditional on modern tree	44584.0	0.0
193	8789.126847363219	8800.0	8938.731739110463	8928.428171206346	7996.991418992648	9908.760721906152	1	direct ancient-lineage insertion conditional on modern tree	63113.0	0.0
194	9867.01835445896	9200.0	9033.453176968886	9076.054516116255	8211.556862135269	9726.544403028733	0	direct ancient-lineage insertion conditional on modern tree	42221.0	0.0
195	8321.523620705977	8950.0	9004.824400705835	8994.375579862455	8528.570760115575	9508.509502539102	0	direct ancient-lineage insertion conditional on modern tree	48630.0	0.0
196	9687.213425675473	10750.0	10731.80829045262	10735.423947670577	10319.489960820858	11119.527057427647	0	direct ancient-lineage insertion conditional on modern tree	87971.0	0.0
197	8536.154759295056	8850.0	8777.727234471557	8786.976301106099	8231.053389020653	9279.042582022901	1	direct ancient-lineage insertion conditional on modern tree	96777.0	0.0
198	5462.306931879392	6200.0	6190.031135884986	6216.5917670992585	5563.737236960493	6630.095682574938	0	direct ancient-lineage insertion conditional on modern tree	96392.0	0.0
199	6070.522516229728	7300.0	7303.148031825746	7306.034511379067	6435.805477903562	8163.822377314064	0	direct ancient-lineage insertion conditional on modern tree	65960.0	0.0
200	9081.359938845852	8050.0	8060.635074828666	8053.443788179117	7561.545372729236	8602.870478245068	0	direct ancient-lineage insertion conditional on modern tree	71907.0	0.0
201	4073.3510749747206	3850.0	3777.420641786823	3783.3474569193013	3460.392372501675	4074.5307743583016	1	direct ancient-lineage insertion conditional on modern tree	23153.0	0.0
202	3919.163982497249	4300.0	4368.753464486449	4377.665368704423	3859.144340996235	4777.924708207031	1	direct ancient-lineage insertion conditional on modern tree	78501.0	0.0
203	5293.921856127034	6250.0	6291.4813572789	6282.276761459513	5936.184974609362	6663.32164994665	0	direct ancient-lineage insertion conditional on modern tree	22790.0	0.0
204	6934.811231301397	8050.0	7947.437254851428	7965.971773079428	7518.401162840269	8290.138365641538	0	direct ancient-lineage insertion conditional on modern tree	98834.0	0.0
205	8865.938655758784	8550.0	8504.69656642088	8515.98230774228	8085.8536568461295	8889.937029397557	1	direct ancient-lineage insertion conditional on modern tree	18975.0	0.0
206	1818.1762697459737	2700.0	2524.9149186142554	2566.0068785526637	1554.9479409077007	3249.9726626413185	1	direct ancient-lineage insertion conditional on modern tree	85386.0	0.0
207	2041.1696732426904	1800.0	1799.9678710200164	1802.2561161310343	1607.7322620997256	1988.1383882555258	0	direct ancient-lineage insertion conditional on modern tree	24965.0	0.0
208	3069.3255778576827	3250.0	3204.2316181827427	3233.3639834626424	2514.7121241896057	3689.429198233405	1	direct ancient-lineage insertion conditional on modern tree	38933.0	0.0
209	3995.0286524249495	4400.0	4484.528519484982	4462.563353648834	3667.582296274071	5366.070260286645	1	direct ancient-lineage insertion conditional on modern tree	47645.0	0.0
210	7080.947281036005	6200.0	6222.6418565324775	6209.074090907187	5663.437113833742	6847.41749752506	0	direct ancient-lineage insertion conditional on modern tree	81377.0	0.0
211	598.4069236246507	0.0	49.84089418255893	41.47895562326309	2.0739477811631546	225.9410135167359	0	direct ancient-lineage insertion conditional on modern tree	58614.0	0.0
